simulation_number,day,avg_resources,total_thefts,agents_alive,count_PusilanimeAgent,count_ThiefAgent,count_TipForTapAgent,count_TipForTapSecureAgent,count_RandomAgent,count_ABRAgent,count_SearchAgent,count_ResentfulAgent,count_ExploteAgent,avg_resources_PusilanimeAgent,avg_resources_ThiefAgent,avg_resources_TipForTapAgent,avg_resources_TipForTapSecureAgent,avg_resources_RandomAgent,avg_resources_ABRAgent,avg_resources_SearchAgent,avg_resources_ResentfulAgent,avg_resources_ExploteAgent
113,540,10160.573170731708,15313,328,7,26,6,29,3,102,12,140,3,12558.285714285714,11822.423076923076,14362.166666666666,9465.137931034482,15192.666666666666,9564.127450980392,14882.25,9548.714285714286,13396.333333333334
113,630,13136.758064516129,17954,372,7,26,6,37,3,118,12,160,3,16893.0,16231.76923076923,18811.666666666668,11507.54054054054,19589.0,12510.135593220339,19408.583333333332,12419.80625,17637.666666666668
113,720,15141.442622950819,20567,427,7,26,6,47,3,138,12,185,3,20870.714285714286,20418.23076923077,22812.5,12669.148936170213,23456.0,14487.021739130434,23430.25,14271.345945945946,21721.0
108,1,633.24,10,50,2,8,2,6,6,8,9,3,6,616.5,708.375,741.0,581.8333333333334,638.6666666666666,617.875,631.3333333333334,569.0,604.1666666666666
108,90,2155.6702127659573,1491,94,2,14,2,6,10,32,14,7,7,1954.5,2217.5714285714284,2182.0,2335.8333333333335,2434.3,2006.78125,2354.6428571428573,2084.4285714285716,1883.2857142857142
108,180,3756.7852348993288,3530,149,2,20,2,6,10,70,15,17,7,3947.0,4337.95,4051.0,4689.333333333333,4935.4,3340.9142857142856,4402.333333333333,3233.764705882353,3520.4285714285716
108,270,5583.552083333333,5984,192,2,26,2,6,10,101,20,18,7,6207.5,6378.692307692308,6279.0,7436.333333333333,7742.2,4918.415841584158,6025.2,5689.5,5644.0
108,360,7448.530364372469,9635,247,2,44,2,6,12,136,20,18,7,9208.0,7094.113636363636,9114.5,10668.166666666666,9837.5,6615.676470588235,9569.45,8932.555555555555,8147.857142857143
108,450,9155.875432525952,15040,289,2,62,2,6,12,160,20,18,7,11100.0,7970.290322580645,11194.0,13379.5,12611.75,8356.0375,12452.5,12032.666666666666,10440.0
108,540,10947.372093023256,21983,344,2,87,2,6,12,190,20,18,7,13522.0,8923.666666666666,13522.0,16286.5,15737.916666666666,10274.294736842105,16019.5,15919.555555555555,12831.0
108,630,12538.948453608247,31036,388,2,104,2,6,12,217,20,18,7,15240.5,10094.211538461539,15762.0,18767.833333333332,18424.0,11938.617511520737,18739.35,19436.38888888889,14898.857142857143
108,720,11752.61009174312,40270,436,2,117,2,6,12,252,20,18,7,14761.0,9587.08547008547,15440.0,19021.5,18892.083333333332,10909.849206349207,19087.2,20468.88888888889,14535.285714285714
111,1,496.16,4,50,6,4,6,4,4,5,6,10,5,499.6666666666667,481.25,462.8333333333333,520.5,540.5,521.6,468.8333333333333,520.4,447.8
111,90,2411.516129032258,1326,93,6,15,6,7,9,6,18,21,5,2575.1666666666665,1821.1333333333334,2652.0,2537.5714285714284,2424.777777777778,3130.1666666666665,2205.8888888888887,2551.190476190476,2788.6
111,180,3819.7762237762236,3454,143,6,18,6,9,9,16,19,55,5,4432.666666666667,2743.6111111111113,4943.666666666667,5056.555555555556,4414.111111111111,3347.9375,4248.736842105263,3585.4363636363637,4771.4
111,270,5298.720430107527,5641,186,6,17,6,10,9,25,19,89,5,6692.666666666667,3486.3529411764707,7499.5,7479.2,6502.444444444444,4750.2,6135.526315789473,4923.651685393258,6858.4
111,360,7959.821576763486,7935,241,6,17,6,10,9,32,19,137,5,10720.0,5729.823529411765,12042.166666666666,12351.3,10177.444444444445,7680.125,9588.0,7203.540145985401,10881.2
111,450,8290.259649122807,10164,285,6,17,6,10,9,37,19,176,5,12198.833333333334,5644.64705882353,13745.166666666666,14278.2,11154.333333333334,8275.72972972973,10390.684210526315,7402.903409090909,12278.8
111,540,9872.376470588235,12509,340,6,17,6,10,9,42,19,226,5,15336.166666666666,6546.588235294118,16896.5,17652.4,13478.111111111111,10320.357142857143,12639.578947368422,8867.362831858407,15292.4
111,630,11398.048257372655,14758,373,6,17,6,12,9,43,19,256,5,17700.166666666668,6889.529411764706,19523.833333333332,17339.75,15281.0,12562.06976744186,14336.631578947368,10407.2421875,17716.2
111,720,13355.71261682243,17100,428,6,17,6,16,9,44,19,306,5,21332.0,8143.705882352941,23295.5,16297.0625,18133.11111111111,15946.977272727272,16988.36842105263,12272.127450980392,21273.8
122,1,569.56,8,50,12,7,1,0,8,6,5,7,4,531.3333333333334,566.2857142857143,364.0,0,610.625,553.6666666666666,590.6,606.2857142857143,592.5
122,90,1793.5,1657,90,10,19,1,0,17,16,11,12,4,1154.3,1732.0526315789473,1607.0,0,1915.0,1980.25,1697.6363636363637,2295.1666666666665,1225.25
122,180,3404.2773722627735,3838,137,10,17,1,0,17,43,10,36,3,2895.0,3318.823529411765,3016.0,0,4267.470588235294,3208.7906976744184,3965.6,3314.9166666666665,2827.3333333333335
122,270,4382.988235294118,5922,170,10,17,1,0,17,58,10,54,3,4052.6,4930.294117647059,4247.0,0,5706.941176470588,4099.706896551724,5369.7,4013.9074074074074,3757.0
122,360,6840.355555555556,7954,225,10,17,1,0,17,83,10,84,3,7703.4,8950.058823529413,7840.0,0,9607.529411764706,6358.987951807229,9376.8,5891.916666666667,7414.0
122,450,8214.840148698884,10165,269,10,17,1,0,17,108,11,102,3,10110.3,11948.70588235294,10138.0,0,12454.411764705883,7372.7962962962965,11301.181818181818,7192.990196078431,9812.666666666666
122,540,9404.756172839507,12327,324,10,18,1,0,21,142,12,117,3,12898.5,14486.944444444445,12745.0,0,12790.952380952382,8189.767605633803,13356.0,8671.128205128205,12765.0
122,630,11258.228260869566,14869,368,10,23,1,0,25,169,15,122,3,16013.9,14784.739130434782,15983.0,0,13914.28,9930.899408284024,13687.933333333332,11048.704918032787,15805.666666666666
122,720,13528.323877068558,18639,423,10,39,1,0,30,198,20,122,3,19630.1,12977.794871794871,19256.0,0,15490.633333333333,12159.843434343435,14223.35,14637.909836065573,19376.666666666668
92,1,635.32,4,50,4,4,7,7,2,3,7,8,8,623.25,759.5,603.1428571428571,602.4285714285714,716.0,659.3333333333334,658.1428571428571,606.625,615.75
92,90,4143.468085106383,1692,94,4,20,7,7,9,3,24,12,8,4314.0,3417.5,4995.142857142857,5251.714285714285,3678.4444444444443,6144.333333333333,3710.0416666666665,4557.0,4611.0
92,180,3720.4189189189187,4820,148,4,26,7,7,11,14,31,40,8,4703.5,2882.076923076923,5567.0,6918.428571428572,3857.181818181818,2699.714285714286,4092.3870967741937,3141.425,4591.25
92,270,2789.090395480226,7678,177,4,15,7,7,11,23,31,71,8,3658.5,2775.133333333333,5173.714285714285,6745.714285714285,3084.6363636363635,1773.0869565217392,3312.967741935484,2099.112676056338,3440.125
92,360,3568.656387665198,10036,227,4,14,7,7,11,37,31,108,8,4844.25,3192.785714285714,6794.0,8464.142857142857,4248.090909090909,2549.7027027027025,4323.193548387097,3026.472222222222,4657.0
92,450,5775.189591078067,12395,269,4,13,7,7,11,49,31,139,8,7557.25,5199.538461538462,9686.857142857143,11562.0,6870.0,4650.775510204082,6729.645161290323,5291.784172661871,7415.75
92,540,7832.197530864198,14816,324,4,13,7,7,11,64,31,179,8,10882.5,7460.538461538462,12954.285714285714,15055.57142857143,9738.0,6584.859375,9678.0,7196.173184357542,10545.5
92,630,10134.77445652174,17128,368,4,13,7,7,11,76,31,211,8,14081.5,9677.076923076924,16516.285714285714,18701.428571428572,12906.818181818182,8849.473684210527,12650.290322580646,9392.218009478673,14061.625
92,720,12280.695035460993,19636,423,4,13,7,7,11,91,31,251,8,17654.5,12248.076923076924,20358.428571428572,22596.714285714286,16193.09090909091,10924.406593406593,15932.41935483871,11380.426294820718,17696.0
109,1,499.14,5,50,4,3,5,8,6,7,5,10,2,505.0,533.3333333333334,461.2,491.125,507.5,552.7142857142857,527.0,468.9,432.0
109,90,2247.968085106383,1367,94,4,14,7,8,17,11,17,14,2,1938.5,1862.9285714285713,2359.0,2623.0,2150.1176470588234,2445.909090909091,2195.3529411764707,2569.5714285714284,1612.5
109,180,3036.3489932885905,3672,149,4,15,7,8,22,38,21,32,2,3694.25,2258.8,4282.857142857143,4753.125,3307.9545454545455,2358.1052631578946,3366.6190476190477,3030.125,2853.0
109,270,4516.4766839378235,6039,193,4,15,7,8,22,64,21,50,2,5475.75,3837.0,6566.142857142857,7203.375,5413.5,3611.640625,5452.0,4284.76,4830.0
109,360,5877.25,8465,248,4,15,7,8,22,99,21,70,2,7801.5,6262.733333333334,8991.142857142857,9712.125,7875.090909090909,4683.606060606061,7915.047619047619,5348.242857142857,7127.0
109,450,8595.493150684932,10958,292,4,15,7,8,22,127,21,86,2,11522.0,10510.666666666666,12751.0,13651.0,11948.09090909091,7208.992125984252,11943.285714285714,7633.883720930233,10974.0
109,540,9836.198847262247,13597,347,4,15,7,8,23,162,21,105,2,14350.5,14380.8,15399.285714285714,16501.375,14187.91304347826,8287.796296296296,14998.095238095239,8468.590476190477,13567.0
109,630,11311.567774936062,16167,391,4,16,7,8,30,190,22,112,2,16995.75,17247.6875,18245.428571428572,19161.375,13682.1,9697.831578947369,17264.136363636364,10111.19642857143,16276.0
109,720,14050.165919282512,19224,446,4,22,7,8,37,225,29,112,2,21220.75,17638.0,22617.571428571428,23529.125,15556.918918918918,12314.026666666667,17372.379310344826,13891.044642857143,20520.5
124,1,385.78,6,50,8,6,9,4,3,1,4,7,8,349.75,399.6666666666667,376.8888888888889,369.25,417.6666666666667,344.0,428.5,401.85714285714283,387.5
124,90,1237.4545454545455,1773,88,8,27,9,5,10,1,12,8,8,556.125,1425.6666666666667,889.5555555555555,1260.8,1145.3,1927.0,1319.5833333333333,2140.5,663.125
124,180,1811.8088235294117,5226,136,8,33,9,6,10,4,14,44,8,487.5,1348.7272727272727,1409.4444444444443,2939.0,2418.7,1872.5,2371.785714285714,2193.840909090909,783.5
124,270,1779.7058823529412,7531,136,2,7,9,14,10,7,14,71,2,232.5,982.2857142857143,1114.0,1838.142857142857,1667.1,1584.4285714285713,1557.357142857143,2095.042253521127,313.0
124,360,4063.73544973545,8842,189,1,6,9,24,10,12,14,111,2,3157.0,1460.8333333333333,4452.333333333333,3946.4166666666665,3863.7,3554.25,3781.1428571428573,4323.315315315315,3613.5
124,450,5326.8969957081545,10082,233,1,6,9,32,10,16,14,143,2,5350.0,1274.8333333333333,6731.444444444444,5109.21875,5355.7,4600.5,5078.071428571428,5553.839160839161,5816.5
124,540,7677.746527777777,11296,288,1,6,9,42,10,21,14,183,2,8904.0,2262.1666666666665,10526.555555555555,7365.785714285715,8084.8,6770.0952380952385,7614.214285714285,7849.879781420765,9232.5
124,630,9099.762048192772,12552,332,1,6,9,50,10,25,14,215,2,11246.0,2392.1666666666665,13305.888888888889,8743.98,9850.7,8070.84,9140.142857142857,9243.748837209303,11462.0
124,720,10181.162790697674,13774,387,1,6,9,60,10,30,14,255,2,13706.0,2333.5,15918.555555555555,9760.933333333332,11616.0,9109.6,10636.5,10262.67843137255,14069.0
127,1,533.96,11,50,4,9,7,7,7,3,5,4,4,536.75,585.6666666666666,507.7142857142857,577.2857142857143,446.85714285714283,464.0,482.8,601.5,586.25
127,90,2151.5913978494623,2056,93,6,28,7,7,10,11,7,13,4,1582.8333333333333,1932.9285714285713,2097.1428571428573,2843.285714285714,2406.6,2274.181818181818,2531.5714285714284,2286.6153846153848,1341.75
127,180,2896.241134751773,4838,141,6,27,7,16,11,26,10,34,4,2251.5,2321.296296296296,3212.8571428571427,2843.25,3514.7272727272725,2978.076923076923,3255.0,3157.5588235294117,2051.25
127,270,4175.92972972973,7560,185,6,27,7,27,12,38,10,54,4,3737.8333333333335,3191.8888888888887,5123.428571428572,3812.3333333333335,5251.916666666667,4200.131578947368,5206.9,4371.777777777777,3592.25
127,360,5172.283333333334,10631,240,6,27,7,42,12,53,10,79,4,5549.166666666667,4402.222222222223,7126.0,4572.190476190476,7063.416666666667,4940.452830188679,7019.3,5163.392405063291,5643.25
127,450,7363.638989169675,13576,277,6,27,7,54,12,60,10,97,4,8491.666666666666,6185.925925925926,10040.714285714286,6683.481481481482,9776.916666666666,7243.266666666666,9725.1,7293.958762886598,8470.25
127,540,8477.490963855422,16247,332,6,27,7,69,12,75,10,122,4,10796.0,7885.888888888889,12443.0,7684.695652173913,11895.416666666666,8159.733333333334,12045.9,8206.5,10777.5
127,630,11137.11170212766,19273,376,6,27,7,81,12,87,10,142,4,14810.0,10808.25925925926,16536.571428571428,10312.530864197532,15541.0,10733.540229885057,15599.2,10712.18309859155,14592.0
127,720,13517.127610208816,22135,431,6,27,7,96,12,102,10,167,4,18924.5,13936.62962962963,20780.85714285714,12575.177083333334,19377.166666666668,13053.70588235294,19209.5,12887.34131736527,18769.5
91,1,572.42,8,50,9,6,3,5,7,4,8,1,7,482.55555555555554,701.6666666666666,608.0,579.6,596.5714285714286,559.0,565.5,612.0,542.5714285714286
91,90,1972.6989247311828,2106,93,9,32,3,5,11,10,15,1,7,1081.6666666666667,1980.96875,1613.0,2176.0,2256.2727272727275,2128.7,2484.2,3101.0,1163.7142857142858
91,180,2094.1384615384613,5821,130,8,35,3,8,14,31,23,5,3,594.375,1586.8285714285714,1033.6666666666667,2727.25,2212.3571428571427,2707.0,2499.521739130435,2467.0,770.3333333333334
91,270,3625.8117647058825,9825,170,8,35,3,12,14,59,28,9,2,1586.75,2657.4285714285716,1870.3333333333333,4345.916666666667,4117.357142857143,4055.7118644067796,4067.5,4299.111111111111,1705.0
91,360,4435.782222222222,13989,225,8,35,3,17,14,99,33,14,2,2602.375,4003.3142857142857,3211.3333333333335,4880.35294117647,5995.785714285715,4244.404040404041,5113.424242424242,4794.357142857143,2257.5
91,450,6023.405204460966,18116,269,8,35,3,21,14,130,38,18,2,4266.5,7023.8,5064.333333333333,6111.809523809524,8402.07142857143,5413.546153846154,6850.9473684210525,5952.777777777777,3957.0
91,540,7936.858934169279,22887,319,8,38,3,25,14,163,43,23,2,6850.125,10190.105263157895,7401.0,7872.8,11665.07142857143,6970.39263803681,9161.32558139535,7193.608695652174,5967.5
91,630,10427.895316804408,28204,363,8,43,3,28,14,191,47,27,2,9788.25,13597.046511627907,10525.666666666666,10240.892857142857,15437.642857142857,9216.073298429319,11978.936170212766,9159.962962962964,8649.5
91,720,12623.134292565946,34149,417,8,57,3,28,14,221,52,32,2,12965.5,14542.421052631578,13487.0,13735.25,19319.785714285714,11334.221719457013,14622.288461538461,10838.09375,11819.5
94,1,612.36,5,50,11,4,3,6,3,4,7,5,7,562.0909090909091,682.25,605.0,628.0,614.0,595.0,660.2857142857143,584.6,622.2857142857143
94,90,3075.9893617021276,1647,94,11,23,3,7,7,5,23,6,9,2777.2727272727275,2993.782608695652,3032.6666666666665,3403.8571428571427,2982.8571428571427,3446.0,2957.695652173913,4301.333333333333,2762.8888888888887
94,180,3258.0536912751677,4937,149,11,35,3,7,8,14,32,30,9,3002.818181818182,2964.0285714285715,3841.0,5444.285714285715,4161.375,3009.0,3648.90625,2676.133333333333,2953.222222222222
94,270,3672.6614583333335,9068,192,11,35,3,7,8,29,36,54,9,3385.4545454545455,2849.4,4373.333333333333,6997.428571428572,4960.0,3245.2758620689656,4117.666666666667,3592.6666666666665,3338.5555555555557
94,360,4436.1061224489795,12970,245,11,33,3,12,8,49,36,84,9,4279.818181818182,3487.4545454545455,5430.333333333333,5899.416666666667,6338.375,3690.591836734694,5404.805555555556,4440.773809523809,4272.666666666667
94,450,5682.508650519031,16917,289,11,33,3,16,8,65,36,108,9,5738.181818181818,4541.030303030303,7168.333333333333,6622.4375,8060.0,4757.907692307693,6986.5,5776.777777777777,5850.777777777777
94,540,7269.584302325581,20606,344,11,33,3,21,8,85,36,138,9,8281.0,6122.727272727273,9796.0,7813.952380952381,10479.0,6147.058823529412,9286.555555555555,7250.04347826087,8106.777777777777
94,630,8683.62886597938,24658,388,11,33,3,25,8,101,36,162,9,10399.272727272728,7777.424242424242,11964.666666666666,8968.12,12671.125,7401.950495049505,11348.888888888889,8574.746913580248,10163.222222222223
94,720,9963.647855530475,28956,443,11,33,3,30,8,121,36,192,9,12747.09090909091,9623.575757575758,14467.0,10024.766666666666,15046.5,8530.950413223141,13643.638888888889,9665.869791666666,12480.111111111111
134,1,470.6,7,50,9,7,6,6,3,6,3,4,6,415.55555555555554,566.1428571428571,441.8333333333333,460.6666666666667,482.6666666666667,491.3333333333333,483.3333333333333,409.5,488.0
134,90,1331.012048192771,1771,83,8,27,6,6,10,11,4,5,6,865.375,1402.2962962962963,1313.3333333333333,1494.1666666666667,1232.6,1547.3636363636363,1576.5,1703.6,778.8333333333334
134,180,2024.3984375,4991,128,7,33,6,6,9,38,4,20,5,1379.7142857142858,1451.4545454545455,1534.8333333333333,3197.3333333333335,2380.4444444444443,2295.9736842105262,2667.25,2336.3,1421.6
134,270,3803.1627906976746,8075,172,7,33,6,10,9,62,4,36,5,3087.1428571428573,3453.4545454545455,3590.3333333333335,4246.2,4459.555555555556,3838.2903225806454,4894.25,3884.3888888888887,3408.2
134,360,6252.713656387666,11231,227,7,37,6,11,9,92,4,56,5,6179.285714285715,6883.783783783784,6828.0,7637.727272727273,8152.333333333333,5789.652173913043,8490.0,5790.785714285715,6433.0
134,450,9082.752767527676,14913,271,7,44,6,11,9,116,4,69,5,9758.0,10071.363636363636,10601.166666666666,11752.181818181818,12048.222222222223,8268.025862068966,12459.0,8537.304347826086,10132.8
134,540,11175.067484662577,19456,326,7,54,6,11,9,146,4,84,5,12775.714285714286,12301.203703703704,14091.333333333334,15629.0,16187.333333333334,10010.472602739726,16419.0,10612.059523809523,13721.2
134,630,13370.591891891892,24446,370,7,62,6,11,9,170,4,96,5,15873.714285714286,14753.58064516129,17546.333333333332,19304.545454545456,20039.777777777777,11938.576470588236,20413.75,12779.864583333334,17043.0
134,720,14520.174940898345,30479,423,7,77,6,11,9,198,4,106,5,18460.428571428572,15023.948051948051,20167.833333333332,22342.454545454544,23055.333333333332,12907.535353535353,23530.75,14465.547169811322,19706.4
129,1,475.02,10,50,7,8,6,7,5,4,5,4,4,472.85714285714283,521.75,445.0,422.42857142857144,483.6,425.75,541.6,486.5,466.25
129,90,1402.421875,1582,64,3,15,3,6,11,9,9,7,1,687.6666666666666,1282.2,1128.3333333333333,1292.6666666666667,1332.7272727272727,1662.2222222222222,1559.2222222222222,1748.7142857142858,1424.0
129,180,3566.6890756302523,3628,119,3,16,3,7,16,31,12,30,1,3042.0,2905.9375,4184.333333333333,4665.142857142857,3717.5,3509.5806451612902,4281.166666666667,3350.9333333333334,3427.0
129,270,4799.558282208589,5808,163,3,16,3,7,16,49,12,56,1,5314.0,4292.625,6708.333333333333,7330.714285714285,5969.5,4543.510204081633,6272.833333333333,4052.375,5913.0
129,360,7403.674311926606,7955,218,3,16,3,8,16,69,12,90,1,9190.666666666666,7893.0,11020.0,10511.125,10070.375,7093.115942028986,10224.5,6219.477777777778,9994.0
129,450,9687.870229007634,10101,262,3,16,3,12,16,85,12,114,1,12681.0,11232.625,14842.0,10492.75,13696.375,9365.8,13785.916666666666,8382.921052631578,13699.0
